,time,car_n 1,car_v_mean 1,truck_n 1,truck_v_mean 1,Y
225,day1 18:45,1.0,18.04,0.0,0.0,1.0-13.34-0.0-0.0
226,day1 18:50,0.0,0.0,0.0,0.0,1.0-13.47-0.0-0.0
227,day1 18:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
228,day1 19:0,2.0,21.88,0.0,0.0,1.0-12.71-0.0-0.0
229,day1 19:5,0.0,0.0,0.0,0.0,1.0-15.59-0.0-0.0
230,day1 19:10,1.0,26.52,0.0,0.0,0.0-0.0-0.0-0.0
231,day1 19:15,1.0,18.65,0.0,0.0,1.0-11.51-0.0-0.0
232,day1 19:20,1.0,24.62,0.0,0.0,0.0-0.0-0.0-0.0
233,day1 19:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
234,day1 19:30,2.0,21.74,0.0,0.0,1.0-12.76-1.0-12.12
235,day1 19:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
236,day1 19:40,0.0,0.0,0.0,0.0,1.0-11.9-0.0-0.0
237,day1 19:45,2.0,26.63,0.0,0.0,0.0-0.0-0.0-0.0
238,day1 19:50,0.0,0.0,0.0,0.0,1.0-19.74-0.0-0.0
239,day1 19:55,0.0,0.0,0.0,0.0,1.0-9.94-0.0-0.0
240,day1 20:0,1.0,19.12,0.0,0.0,2.0-20.02-0.0-0.0
241,day1 20:5,1.0,24.72,0.0,0.0,0.0-0.0-0.0-0.0
242,day1 20:10,0.0,0.0,0.0,0.0,1.0-11.38-0.0-0.0
243,day1 20:15,0.0,0.0,0.0,0.0,1.0-15.83-0.0-0.0
244,day1 20:20,1.0,19.06,0.0,0.0,0.0-0.0-0.0-0.0
245,day1 20:25,2.0,27.44,0.0,0.0,1.0-11.42-0.0-0.0
246,day1 20:30,1.0,27.72,0.0,0.0,0.0-0.0-0.0-0.0
247,day1 20:35,1.0,19.14,0.0,0.0,1.0-15.59-0.0-0.0
248,day1 20:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
249,day1 20:45,1.0,23.87,0.0,0.0,1.0-14.96-0.0-0.0
250,day1 20:50,1.0,19.35,0.0,0.0,0.0-0.0-0.0-0.0
251,day1 20:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
252,day1 21:0,2.0,23.52,0.0,0.0,1.0-18.35-0.0-0.0
253,day1 21:5,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
254,day1 21:10,1.0,19.2,0.0,0.0,1.0-33.74-0.0-0.0
255,day1 21:15,0.0,0.0,0.0,0.0,2.0-16.72-0.0-0.0
256,day1 21:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
257,day1 21:25,3.0,28.29,0.0,0.0,0.0-0.0-0.0-0.0
258,day1 21:30,0.0,0.0,0.0,0.0,1.0-17.32-0.0-0.0
259,day1 21:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
260,day1 21:40,2.0,20.56,0.0,0.0,0.0-0.0-0.0-0.0
261,day1 21:45,0.0,0.0,0.0,0.0,1.0-17.39-0.0-0.0
262,day1 21:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
263,day1 21:55,1.0,20.58,1.0,17.94,0.0-0.0-0.0-0.0
264,day1 22:0,0.0,0.0,0.0,0.0,2.0-21.3-0.0-0.0
265,day1 22:5,0.0,0.0,1.0,17.08,0.0-0.0-0.0-0.0
266,day1 22:10,1.0,20.67,0.0,0.0,0.0-0.0-0.0-0.0
267,day1 22:15,1.0,17.95,0.0,0.0,1.0-15.48-0.0-0.0
268,day1 22:20,0.0,0.0,0.0,0.0,1.0-19.11-0.0-0.0
269,day1 22:25,2.0,18.64,0.0,0.0,0.0-0.0-0.0-0.0
270,day1 22:30,1.0,17.96,0.0,0.0,1.0-17.18-0.0-0.0
271,day1 22:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
272,day1 22:40,1.0,20.18,0.0,0.0,0.0-0.0-0.0-0.0
273,day1 22:45,1.0,19.04,0.0,0.0,3.0-23.01-0.0-0.0
274,day1 22:50,0.0,0.0,1.0,16.14,0.0-0.0-0.0-0.0
275,day1 22:55,1.0,19.63,0.0,0.0,0.0-0.0-0.0-0.0
276,day1 23:0,0.0,0.0,0.0,0.0,1.0-17.25-0.0-0.0
277,day1 23:5,0.0,0.0,0.0,0.0,1.0-23.7-0.0-0.0
278,day1 23:10,1.0,17.35,0.0,0.0,0.0-0.0-0.0-0.0
279,day1 23:15,1.0,19.01,0.0,0.0,1.0-17.29-0.0-0.0
280,day1 23:20,0.0,0.0,0.0,0.0,1.0-23.88-0.0-0.0
281,day1 23:25,1.0,17.46,0.0,0.0,0.0-0.0-0.0-0.0
282,day1 23:30,1.0,19.13,0.0,0.0,1.0-17.32-0.0-0.0
283,day1 23:35,0.0,0.0,0.0,0.0,1.0-23.99-0.0-0.0
284,day1 23:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
285,day1 23:45,2.0,18.87,0.0,0.0,1.0-17.36-0.0-0.0
286,day1 23:50,0.0,0.0,0.0,0.0,1.0-22.99-0.0-0.0
287,day1 23:55,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
